DATA,Alberta,BC
14-12-2020,0,0
15-12-2020,20,409
16-12-2020,20,409
17-12-2020,394,1215
18-12-2020,394,2592
19-12-2020,394,2592
20-12-2020,2148,2592
21-12-2020,2148,3644
22-12-2020,3074,4108
23-12-2020,3636,5603
24-12-2020,4711,8178
25-12-2020,4711,8178
26-12-2020,4711,8178
27-12-2020,4711,8178
28-12-2020,6016,8178
29-12-2020,6502,11930
30-12-2020,8544,14027
31-12-2020,11102,17510
01-01-2021,14244,17510
02-01-2021,17244,17510
03-01-2021,17244,17510
04-01-2021,22861,24139
05-01-2021,26269,28209